english,name,type,dosage,disposition
TETRACYCLINE HYDROCHLORIDE,تتراکیم,کپسول,250 mg,خوراکی 
IBUPROFEN,ایبوپروفن,سوسپانسیون,100 mg/5mL 120 mL,خوراکی 
METHOCARBAMOL,رباکسول,قرص,500 mg,خوراکی 
HYOSCINE-N-BUTYL BROMIDE,هیوسین-ان-بوتیل بروماید,قرص,10 mg,خوراکی 
DIPHENHYDRAMINE HYDROCHLORIDE,دیفن هیدرامین,محلول,12.5 mg/5mL 60 mL,خوراکی 
OFLOXACIN,افلوکسیر,قرص,300 mg,خوراکی 
ACETAMINOPHEN,مینوفن,کپسول,500 mg,با روکش ژلاتین خوراکی 
VITAMIN B6,ویتامین ب6,تزریقی,100 mg/1mL 3 mL,پرنترال 
NITRAZEPAM,زیپکس,قرص,5 mg,خوراکی 
GLYCERIN,لاکساتور,شیاف,2 g,مقعدی 
BETAMETHASONE LA (BETAMETHASONE AS DISODIUM PHOSPHATE / BETAMETHASONE ACETATE),بتامتازون ال آ,سوسپانسیون,3 mg/3 mg/1mL mL,تزریقی پیوسته رهش پرنترال  
CLOZAPINE,کلوزاپین,قرص,25 mg,خوراکی 
VITAMIN D3,سان ویت,تزریقی,300000 [iU]/1mL mL,پرنترال 
SODIUM CHLORIDE,سدیم کلراید (بگ),محلول,0.9 % 500 L,تزریقی پرنترال 
RIVASTIGMINE (AS HYDROGEN TARTRATE),ریواستیگمین سها,کپسول,1.5 mg,خوراکی 
FLUOROURACIL,افودیکس,کرم,5 % 20 g,موضعی 
MEGESTROL ACETATE,مژکس-آی,سوسپانسیون,40 mg/1mL 240 g,خوراکی 
ERYTHROMYCIN,اریتروماکس,پودر,200 mg/5mL 100 mL,برای تهیه سوسپانسیون خوراکی 
CALCITRIOL,کلسیتریول,کپسول,0.25 ug,حاوی مایع خوراکی 
LATANOPROST,زالابایوست,"محلول،",50 ug/1mL 2.5 mL,قطره چشمی 
METOCLOPRAMIDE (AS HYDROCHLORIDE),اسوه-متوکلوپرامید,تزریقی,5 mg/1mL 2 mL,پرنترال 
AZITHROMYCIN,آزیترومایسین,پودر,200 mg/5mL 30 mL,برای تهیه سوسپانسیون خوراکی 
METOCLOPRAMIDE (AS HYDROCHLORIDE),دمتیک,تزریقی,5 mg/1mL 2 mL,پرنترال 
SALBUTAMOL (AS SULFATE),سالبوتامول,شربت,2 mg/5mL 120 mL,خوراکی 
IOHEXOL,امنی پک,تزریقی,350 mg/1mL 100 mL,پرنترال 
LATANOPROST / TIMOLOL (AS MALEATE),کوپروست,"محلول،",50 ug/5 mg/1mL 2.5 mL,قطره چشمی 
BETAMETHASONE (AS DISODIUM PHOSPHATE),بتازون,تزریقی,4 mg/1mL mL,پرنترال 
NAPROXEN,ناپروکسن,قرص,500 mg,انتریک کوتد خوراکی 
VITAMIN B1 (THIAMINE),تیاماکس,قرص,300 mg,خوراکی 
LITHIUM CARBONATE,لیتمون,قرص,300 mg,خوراکی 
MEFENAMIC ACID,مفنامیک اسید-حکیم,کپسول,250 mg,خوراکی 
KETOCONAZOLE,کتوکونازول,شامپو,2 % 100 mL,موضعی 
SODIUM BICARBONATE,سدیم بیکربنات (بگ),تزریقی,7.5 % 50 mL,پرنترال 
VITAMIN B1 (THIAMINE),ویتامین ب1,قرص,100 mg,خوراکی 
CLINDAMYCIN (AS PHOSPHATE),کلیندامایسین-سپیداج,محلول,10 mg/1mL 60 mL,موضعی 
HEPARIN SODIUM,هپارین,تزریقی,5000 [iU]/1mL 1 mL,پرنترال 
VITAMIN A,آ- ویژل,کپسول,50000 [iU],حاوی مایع خوراکی 
BOTULINUM A TOXIN,دیسپورت,پودر,500 [iU] [iU],لئوفیلیزه برای تهیه محلول تزریقی پرنترال 
MENTHOL SALICYLATE,منتودیک,پماد,10 %/15 % 30 g,موضعی 
POTASSIUM AMINOBENZOIC ACID (POTABA),پابا-کا,قرص,500 mg,خوراکی 
CETIRIZINE HYDROCHLORIDE,آپو-ستیریزین,قرص,10 mg,خوراکی 
MESALAZINE,کولیوا,شیاف,500 mg,مقعدی 
LEVOTHYROXINE SODIUM,یوتیروکس,قرص,100 ug,خوراکی 
BUPROPION HYDROCHLORIDE,زیبوترین,قرص,150 mg,پیوسته رهش خوراکی 
OXYTOCIN,اکسی توسین,تزریقی,10 [iU]/1mL mL,پرنترال 
TRIAMCINOLONE ACETONIDE,کورتیران,تزریقی,40 mg/1mL 1 mL,پرنترال 
ESCITALOPRAM (AS OXALATE),ازیپم,قرص,10 mg,خوراکی 
DICLOFENAC SODIUM,دیکلوفناک-سبحان,قرص,25 mg,انتریک کوتد خوراکی 
TADALAFIL,تاداگرا,قرص,20 mg,خوراکی 
VENLAFAXINE,آلوینتا,کپسول,x 75 mg,پیوسته کوتد خوراکی 
CHLORAMPHENICOL,کلوبیوتیک,"محلول،",0.5 % 10 mL,قطره چشمی 
PREGABALIN,پرگابالین,کپسول,75 mg,خوراکی 
THEOPHYLLINE / GUAIFENESIN,تئوکال-جی,,50 mg/30 mg/5mL 120 mL,محلول خوراکی 
CALAMINE,کالامکس,کرم,8 % 30 g,موضعی 
CO-AMOXICLAV,کلاموکس,پودر,250 mg/62.5 mg/5mL 100 mL,برای تهیه سوسپانسیون خوراکی 
IMIPRAMINE HYDROCHLORIDE,ایمی پرامین,قرص,10 mg,خوراکی 
CLINDAMYCIN (AS PHOSPHATE),آفیندامایسین,محلول,10 mg/1mL 60 mL,موضعی 
GLICLAZIDE,گلی کلازید,قرص,80 mg,خوراکی 
AMOXICILLIN,آفاموکس,پودر,250 mg/5mL 100 mg,برای تهیه سوسپانسیون خوراکی 
MEROPENEM,مروپنم,پودر,1 g g,برای تهیه محلول تزریقی پرنترال 
PSEUDOEPHEDRINE HYDROCHLORIDE,سودوافدرین,شربت,30 mg/5mL 60 mm,خوراکی 
AZITHROMYCIN,آزیروسین,قرص,250 mg,خوراکی 
GADOTERATE MEGLUMINE,دوتارم,تزریقی,376.9 mg/1mL 15 mL,پرنترال 
ANTIHEMORRHOID,ایپروئید,شیاف,60 mg/5 mg/50 mg/400 mg,مقعدی 
LOVASTATIN,لواسترول,قرص,20 mg,خوراکی 
BETAMETHASONE (AS DISODIUM PHOSPHATE),بتامتازون,تزریقی,4 mg/1mL mL,پرنترال 
NITROGLYCERIN,سوستاک,قرص,6.4 mg,پیوسته رهش خوراکی 
VITAMIN A,زیروویت,پماد,250 [iU]/1g 5 g,چشمی 
CLOTRIMAZOLE,کلوتریمازول بهسا,کرم,2 % 50 g,واژینال 
IRON (AS SUCROSE),فرینمیا,تزریقی,20 mg/1mL 5 mg,داخل وریدی 
ACETAMINOPHEN / CAFFEINE / IBUPROFEN,فارژزیک,کپسول,325 mg/40 mg/200 mg,خوراکی 
AZITHROMYCIN,آزیترومایسین سها,قرص,250 mg,خوراکی 
CLARITHROMYCIN,کلاریترومایسین,قرص,500 mg,خوراکی 
ESOMEPRAZOLE,اس و-کپ,کپسول,20 mg,انتریک کوتد خوراکی 
